,date,diff
0,2018-11-05,-0.09167842031029738
1,2018-11-02,-0.036201222378937456
2,2018-11-01,0.06879799404481951
3,2018-10-31,0.0299326124431894
4,2018-10-30,-0.07255916000626939
5,2018-10-29,-0.2020059551794396
6,2018-10-26,0.5900329102021614
7,2018-10-25,-0.1938567622629691
8,2018-10-24,-0.5132424384892658
9,2018-10-23,0.8288669487541127
10,2018-10-22,-0.1114245416078995
11,2018-10-19,-0.35151230214699897
12,2018-10-18,-0.2885127722927444
13,2018-10-17,-0.4527503526093095
14,2018-10-16,0.22143864598025298
15,2018-10-15,-0.10327534869142901
16,2018-10-12,-0.18946873530794678
17,2018-10-11,-0.28600532831844533
18,2018-10-10,-0.3621689390377694
19,2018-10-09,0.11675286005328306
20,2018-10-08,-0.5574361385362794
21,2018-10-05,-0.5179438959410751
22,2018-10-04,-0.4997649271274101
23,2018-10-03,-0.387243378780755
24,2018-10-02,-0.5251527973671846
25,2018-10-01,0.03463406989500051
26,2018-09-28,-0.29196050775740556
27,2018-09-27,-0.2885127722927444
28,2018-09-26,0.12051402601472946
29,2018-09-25,-0.08885754583921035
30,2018-09-24,-0.08227550540667691
31,2018-09-21,-0.07600689547092873
32,2018-09-20,-0.2838113148409351
33,2018-09-19,0.46027268453220427
34,2018-09-18,-0.4875411377527044
35,2018-09-17,0.03055947343676349
36,2018-09-14,0.08196207490988819
37,2018-09-13,-0.07475317348378052
38,2018-09-12,0.16533458705532073
39,2018-09-11,-0.12082745651151998
40,2018-09-10,0.26375176304654424
41,2018-09-07,-0.021469989029933523
42,2018-09-06,-0.24055790628428264
43,2018-09-05,-0.25497570913649953
44,2018-09-04,-0.3703181319542399
45,2018-08-31,-0.13054380191192572
46,2018-08-30,-0.09199185080708444
47,2018-08-29,-0.28475160633129626
48,2018-08-28,-0.3251841404168634
49,2018-08-27,-0.08008149192916575
50,2018-08-24,-0.05343989970224136
51,2018-08-23,-0.0897978373295715
52,2018-08-22,-0.09575301676853262
53,2018-08-21,0.23397586585174573
54,2018-08-20,0.4046857859269696
55,2018-08-17,-0.6840620592383644
56,2018-08-16,-0.25967716658831064
57,2018-08-15,-0.22068327848299613
58,2018-08-14,-0.45870553204826886
59,2018-08-13,-0.2678263595047794
60,2018-08-10,-0.07318602099984348
61,2018-08-09,-0.5304811158125697
62,2018-08-08,-0.08070835292273987
63,2018-08-07,1.0
64,2018-08-06,-0.22864754740636217
65,2018-08-03,-0.10860366713681247
66,2018-08-02,0.5414511832001256
67,2018-08-01,-0.030559473436766946
68,2018-07-31,0.06472339758658427
69,2018-07-30,-0.29948283968030015
70,2018-07-27,-0.4355116752860056
71,2018-07-26,-0.06346967559943772
72,2018-07-25,0.2562294311236478
73,2018-07-24,-0.3390032910202171
74,2018-07-23,-0.07726061745807872
75,2018-07-20,-0.3596614950634712
76,2018-07-19,0.0023507287259056237
77,2018-07-18,-0.15593167215170012
78,2018-07-17,0.31515436451966716
79,2018-07-16,-0.170349475003917
80,2018-07-13,-0.016768531578122386
81,2018-07-12,-0.2678263595047812
82,2018-07-11,-0.020843128036359418
83,2018-07-10,-0.1853941388497098
84,2018-07-09,0.08446951888418638
85,2018-07-06,0.0037768374862863496
86,2018-07-05,-0.2640651935433312
87,2018-07-03,-0.7746434728099044
88,2018-07-02,-0.9034634069895006
89,2018-06-29,-0.44522802068641315
90,2018-06-28,-0.08008149192916575
91,2018-06-27,-0.1355586898605239
92,2018-06-26,0.06647860836859462
93,2018-06-25,-0.02930575144961696
94,2018-06-22,-0.6812411847672791
95,2018-06-21,-0.5740479548660092
96,2018-06-20,0.011126782635950211
97,2018-06-19,-0.51512302146999
98,2018-06-18,0.3637360915217048
99,2018-06-15,0.015828240087761347
100,2018-06-14,0.1963642062372674
101,2018-06-13,-0.18025387870239962
102,2018-06-12,-0.18037925090111337
103,2018-06-11,0.1806926813979005
104,2018-06-08,-0.16188685159065946
105,2018-06-07,-0.12176774800188113
106,2018-06-06,0.475630778874784
107,2018-06-05,-0.3258110014104375
108,2018-06-04,-0.044663845792195
109,2018-06-01,0.0669174110640954
110,2018-05-31,-0.19761792822441548
111,2018-05-30,0.1443347437705686
112,2018-05-29,0.044663845792195095
113,2018-05-25,-0.08149819777464345
114,2018-05-24,-0.13712584234445918
115,2018-05-23,-0.07882776994201576
116,2018-05-22,-0.5195737345243701
117,2018-05-21,-0.020843128036357628
118,2018-05-18,-0.36530324400564174
119,2018-05-17,-0.16251371258423358
120,2018-05-16,-0.03682808337251156
121,2018-05-15,-0.14590189625450556
122,2018-05-14,-0.47563077887478394
123,2018-05-11,-0.32800501488794864
124,2018-05-10,-0.19760852530951423
125,2018-05-09,0.08196207490988819
126,2018-05-08,-0.08306848456354758
127,2018-05-07,0.045290706785769214
128,2018-05-04,0.22770725591599938
129,2018-05-03,0.05751449616047494
130,2018-05-02,-0.03902209685002449
131,2018-05-01,0.08102178341952701
132,2018-04-30,-0.11079768061432539
133,2018-04-27,0.1529540824322197
134,2018-04-26,0.0910515593167216
135,2018-04-25,-0.20796113461839894
136,2018-04-24,-0.16815546152640765
137,2018-04-23,-0.36812411847672877
138,2018-04-20,-0.2744083999373146
139,2018-04-19,0.16220028208744663
140,2018-04-18,-0.04873844225043024
141,2018-04-17,-0.15687196364206307
142,2018-04-16,-0.3640495220184935
143,2018-04-13,-0.22206550697383054
144,2018-04-12,-0.3781538943739233
145,2018-04-11,-0.11394138849710074
146,2018-04-10,0.059708509637986074
147,2018-04-09,-0.45557122708039477
148,2018-04-06,-0.17317034947500404
